application_id,checking_status,duration_months,credit_history,purpose,credit_amount,savings,employment_duration,installment_rate,personal_status,other_debtors,residence_years,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,outcome,default_flag,credit_amount_band,duration_band,age_band,automl_review_score,review_priority
APP-0040,0 to 200 DM,9,Existing paid duly,Radio or television,458,< 100 DM,1 to 4 years,4,Male single,None,3,Real estate,24,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,< 25,58,Medium review
APP-0041,No checking account,30,Existing paid duly,Radio or television,2333,500 to 1000 DM,>= 7 years,4,Male single,None,2,Car or other property,30,Bank,Own,1,Management or highly qualified,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",25 to 36 months,25 to 34,39,Medium review
APP-0042,0 to 200 DM,12,Existing paid duly,Radio or television,1158,500 to 1000 DM,1 to 4 years,3,Male divorced,None,1,Car or other property,26,None,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,25 to 34,44,Medium review
APP-0043,0 to 200 DM,18,Past delay,Repairs,6204,< 100 DM,1 to 4 years,2,Male single,None,4,Real estate,44,None,Own,1,Unskilled resident,2,Phone registered,Foreign worker,Good credit,0,"4,000 to 7,999 DM",13 to 24 months,35 to 49,77,High review
APP-0044,< 0 DM,30,Critical or other credit,Used car,6187,100 to 500 DM,4 to 7 years,1,Male married or widowed,None,4,Car or other property,24,None,Rent,2,Skilled employee,1,No phone,Foreign worker,Good credit,0,"4,000 to 7,999 DM",25 to 36 months,< 25,75,High review
APP-0045,< 0 DM,48,Critical or other credit,Used car,6143,< 100 DM,>= 7 years,4,Female divorced or married,None,4,Unknown or no property,58,Stores,For free,2,Unskilled resident,1,No phone,Foreign worker,Default risk,1,"4,000 to 7,999 DM",More than 36 months,50+,76,High review
APP-0046,No checking account,11,Critical or other credit,New car,1393,< 100 DM,< 1 year,4,Female divorced or married,None,4,Car or other property,35,None,Own,2,Management or highly qualified,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,35 to 49,38,Medium review
APP-0047,No checking account,36,Existing paid duly,Radio or television,2299,500 to 1000 DM,>= 7 years,4,Male single,None,4,Car or other property,39,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",25 to 36 months,35 to 49,35,Medium review
APP-0048,< 0 DM,6,Existing paid duly,Used car,1352,500 to 1000 DM,Unemployed,1,Female divorced or married,None,2,Building society savings or life insurance,23,None,Rent,1,Unemployed or unskilled nonresident,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,< 25,66,High review
APP-0049,No checking account,11,Critical or other credit,New car,7228,< 100 DM,1 to 4 years,1,Male single,None,4,Building society savings or life insurance,39,None,Own,2,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"4,000 to 7,999 DM",Up to 12 months,35 to 49,42,Medium review
APP-0050,No checking account,12,Existing paid duly,Radio or television,2073,100 to 500 DM,1 to 4 years,4,Female divorced or married,Co-applicant,2,Real estate,28,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,25 to 34,38,Medium review
APP-0051,0 to 200 DM,24,Past delay,Furniture or equipment,2333,Unknown or none,< 1 year,4,Male single,None,2,Building society savings or life insurance,29,Bank,Own,1,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,25 to 34,73,High review
APP-0052,0 to 200 DM,27,Past delay,Used car,5965,< 100 DM,>= 7 years,1,Male single,None,2,Car or other property,30,None,Own,2,Management or highly qualified,1,Phone registered,Foreign worker,Good credit,0,"4,000 to 7,999 DM",25 to 36 months,25 to 34,81,High review
APP-0053,No checking account,12,Existing paid duly,Radio or television,1262,< 100 DM,1 to 4 years,3,Male single,None,2,Car or other property,25,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,25 to 34,40,Medium review
APP-0054,No checking account,18,Existing paid duly,Used car,3378,Unknown or none,1 to 4 years,2,Male single,None,1,Building society savings or life insurance,31,None,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,25 to 34,41,Medium review
APP-0055,0 to 200 DM,36,Past delay,New car,2225,< 100 DM,>= 7 years,4,Male single,None,4,Unknown or no property,57,Bank,For free,2,Skilled employee,1,Phone registered,Foreign worker,Default risk,1,"1,500 to 3,999 DM",25 to 36 months,50+,73,High review
APP-0056,No checking account,6,All paid at this bank,New car,783,Unknown or none,1 to 4 years,1,Male single,Guarantor,2,Real estate,26,Stores,Own,1,Unskilled resident,2,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,25 to 34,38,Medium review
APP-0057,0 to 200 DM,12,Existing paid duly,Radio or television,6468,Unknown or none,Unemployed,2,Male single,None,1,Unknown or no property,52,None,Own,1,Management or highly qualified,1,Phone registered,Foreign worker,Default risk,1,"4,000 to 7,999 DM",Up to 12 months,50+,58,Medium review
APP-0058,No checking account,36,Critical or other credit,Radio or television,9566,< 100 DM,1 to 4 years,2,Female divorced or married,None,2,Car or other property,31,Stores,Own,2,Skilled employee,1,No phone,Foreign worker,Good credit,0,">= 8,000 DM",25 to 36 months,25 to 34,60,High review
APP-0059,>= 200 DM,18,Existing paid duly,New car,1961,< 100 DM,>= 7 years,3,Female divorced or married,None,2,Car or other property,23,None,Own,1,Management or highly qualified,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,< 25,52,Medium review
APP-0060,< 0 DM,36,Critical or other credit,Furniture or equipment,6229,< 100 DM,< 1 year,4,Female divorced or married,Co-applicant,4,Unknown or no property,23,None,Rent,2,Unskilled resident,1,Phone registered,Foreign worker,Default risk,1,"4,000 to 7,999 DM",25 to 36 months,< 25,88,High review
APP-0061,0 to 200 DM,9,Existing paid duly,Business,1391,< 100 DM,1 to 4 years,2,Male married or widowed,None,1,Real estate,27,Bank,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,25 to 34,54,Medium review
APP-0062,0 to 200 DM,15,Critical or other credit,Radio or television,1537,Unknown or none,>= 7 years,4,Male single,Guarantor,4,Real estate,50,None,Own,2,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,50+,44,Medium review
APP-0063,0 to 200 DM,36,No prior credit,Business,1953,< 100 DM,>= 7 years,4,Male single,None,4,Unknown or no property,61,None,For free,1,Management or highly qualified,1,Phone registered,Foreign worker,Default risk,1,"1,500 to 3,999 DM",25 to 36 months,50+,71,High review
APP-0064,0 to 200 DM,48,No prior credit,Business,14421,< 100 DM,1 to 4 years,2,Male single,None,2,Car or other property,25,None,Own,1,Skilled employee,1,Phone registered,Foreign worker,Default risk,1,">= 8,000 DM",More than 36 months,25 to 34,93,High review
APP-0065,No checking account,24,Existing paid duly,Radio or television,3181,< 100 DM,< 1 year,4,Female divorced or married,None,4,Building society savings or life insurance,26,None,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,25 to 34,53,Medium review
APP-0066,No checking account,27,Existing paid duly,Repairs,5190,Unknown or none,>= 7 years,4,Male single,None,4,Building society savings or life insurance,48,None,Own,4,Skilled employee,2,Phone registered,Foreign worker,Good credit,0,"4,000 to 7,999 DM",25 to 36 months,35 to 49,41,Medium review
APP-0067,No checking account,12,Existing paid duly,Radio or television,2171,< 100 DM,< 1 year,2,Female divorced or married,None,2,Car or other property,29,Bank,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,25 to 34,48,Medium review
APP-0068,0 to 200 DM,12,Existing paid duly,New car,1007,>= 1000 DM,1 to 4 years,4,Male married or widowed,None,1,Real estate,22,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,< 25,45,Medium review
APP-0069,No checking account,36,Existing paid duly,Education,1819,< 100 DM,1 to 4 years,4,Male single,None,4,Unknown or no property,37,Stores,For free,1,Skilled employee,1,Phone registered,Foreign worker,Default risk,1,"1,500 to 3,999 DM",25 to 36 months,35 to 49,50,Medium review
APP-0070,No checking account,36,Existing paid duly,Radio or television,2394,Unknown or none,1 to 4 years,4,Female divorced or married,None,4,Car or other property,25,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",25 to 36 months,25 to 34,46,Medium review
APP-0071,No checking account,36,Existing paid duly,Used car,8133,< 100 DM,1 to 4 years,1,Female divorced or married,None,2,Building society savings or life insurance,30,Bank,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,">= 8,000 DM",25 to 36 months,25 to 34,62,High review
APP-0072,No checking account,7,Critical or other credit,Radio or television,730,Unknown or none,>= 7 years,4,Male single,None,2,Building society savings or life insurance,46,None,Rent,2,Unskilled resident,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,35 to 49,21,Low review
APP-0073,< 0 DM,8,Critical or other credit,Other,1164,< 100 DM,>= 7 years,3,Male single,None,4,Unknown or no property,51,Bank,For free,2,Management or highly qualified,2,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,50+,53,Medium review
APP-0074,0 to 200 DM,42,Critical or other credit,Business,5954,< 100 DM,4 to 7 years,2,Female divorced or married,None,1,Real estate,41,Bank,Own,2,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"4,000 to 7,999 DM",More than 36 months,35 to 49,68,High review
APP-0075,< 0 DM,36,Existing paid duly,Education,1977,Unknown or none,>= 7 years,4,Male single,None,4,Unknown or no property,40,None,Own,1,Management or highly qualified,1,Phone registered,Foreign worker,Default risk,1,"1,500 to 3,999 DM",25 to 36 months,35 to 49,61,High review
APP-0076,< 0 DM,12,Critical or other credit,Used car,1526,< 100 DM,>= 7 years,4,Male single,None,4,Unknown or no property,66,None,For free,2,Management or highly qualified,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,50+,57,Medium review
APP-0077,< 0 DM,42,Existing paid duly,Radio or television,3965,< 100 DM,< 1 year,4,Male single,None,3,Car or other property,34,None,Own,1,Skilled employee,1,No phone,Foreign worker,Default risk,1,"1,500 to 3,999 DM",More than 36 months,25 to 34,87,High review
APP-0078,0 to 200 DM,11,Past delay,Radio or television,4771,< 100 DM,4 to 7 years,2,Male single,None,4,Building society savings or life insurance,51,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"4,000 to 7,999 DM",Up to 12 months,50+,69,High review
APP-0079,No checking account,54,No prior credit,Used car,9436,Unknown or none,1 to 4 years,2,Male single,None,2,Building society savings or life insurance,39,None,Own,1,Unskilled resident,2,No phone,Foreign worker,Good credit,0,">= 8,000 DM",More than 36 months,35 to 49,67,High review
APP-0080,0 to 200 DM,30,Existing paid duly,Furniture or equipment,3832,< 100 DM,< 1 year,2,Male married or widowed,None,1,Building society savings or life insurance,22,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",25 to 36 months,< 25,76,High review
APP-0081,No checking account,24,Existing paid duly,Radio or television,5943,Unknown or none,< 1 year,1,Female divorced or married,None,1,Car or other property,44,None,Own,2,Skilled employee,1,Phone registered,Foreign worker,Default risk,1,"4,000 to 7,999 DM",13 to 24 months,35 to 49,45,Medium review
APP-0082,No checking account,15,Existing paid duly,Radio or television,1213,500 to 1000 DM,>= 7 years,4,Male single,None,3,Building society savings or life insurance,47,Stores,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",13 to 24 months,35 to 49,26,Low review
APP-0083,No checking account,18,Existing paid duly,Business,1568,100 to 500 DM,1 to 4 years,3,Female divorced or married,None,4,Building society savings or life insurance,24,None,Rent,1,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,< 25,47,Medium review
APP-0084,< 0 DM,24,Existing paid duly,Other,1755,< 100 DM,>= 7 years,4,Female divorced or married,Guarantor,4,Real estate,58,None,Own,1,Unskilled resident,1,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,50+,64,High review
APP-0085,< 0 DM,10,Existing paid duly,Radio or television,2315,< 100 DM,>= 7 years,3,Male single,None,4,Real estate,52,None,Own,1,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,50+,59,Medium review
APP-0086,No checking account,12,Critical or other credit,Business,1412,< 100 DM,1 to 4 years,4,Female divorced or married,Guarantor,2,Real estate,29,None,Own,2,Management or highly qualified,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,25 to 34,38,Medium review
APP-0087,0 to 200 DM,18,Critical or other credit,Furniture or equipment,1295,< 100 DM,< 1 year,4,Female divorced or married,None,1,Building society savings or life insurance,27,None,Own,2,Skilled employee,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",13 to 24 months,25 to 34,61,High review
APP-0088,0 to 200 DM,36,Existing paid duly,Education,12612,100 to 500 DM,1 to 4 years,1,Male single,None,4,Unknown or no property,47,None,For free,1,Skilled employee,2,Phone registered,Foreign worker,Default risk,1,">= 8,000 DM",25 to 36 months,35 to 49,66,High review
APP-0089,< 0 DM,18,Existing paid duly,New car,2249,100 to 500 DM,4 to 7 years,4,Male single,None,3,Car or other property,30,None,Own,1,Management or highly qualified,2,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,25 to 34,64,High review
APP-0090,< 0 DM,12,No prior credit,Repairs,1108,< 100 DM,4 to 7 years,4,Male single,None,3,Real estate,28,None,Own,2,Skilled employee,1,No phone,Foreign worker,Default risk,1,"< 1,500 DM",Up to 12 months,25 to 34,73,High review
APP-0091,No checking account,12,Critical or other credit,Radio or television,618,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,56,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,50+,29,Low review
APP-0092,< 0 DM,12,Critical or other credit,Used car,1409,< 100 DM,>= 7 years,4,Male single,None,3,Real estate,54,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,50+,53,Medium review
APP-0093,No checking account,12,Critical or other credit,Radio or television,797,Unknown or none,>= 7 years,4,Female divorced or married,None,3,Building society savings or life insurance,33,Bank,Own,1,Unskilled resident,2,No phone,Foreign worker,Default risk,1,"< 1,500 DM",Up to 12 months,25 to 34,25,Low review
APP-0094,>= 200 DM,24,Critical or other credit,Furniture or equipment,3617,Unknown or none,>= 7 years,4,Male single,Co-applicant,4,Unknown or no property,20,None,Rent,2,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,< 25,42,Medium review
APP-0095,0 to 200 DM,12,Existing paid duly,New car,1318,>= 1000 DM,>= 7 years,4,Male single,None,4,Real estate,54,None,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,50+,32,Low review
APP-0096,0 to 200 DM,54,No prior credit,Business,15945,< 100 DM,< 1 year,3,Male single,None,4,Unknown or no property,58,None,Rent,1,Skilled employee,1,Phone registered,Foreign worker,Default risk,1,">= 8,000 DM",More than 36 months,50+,93,High review
APP-0097,No checking account,12,Critical or other credit,Education,2012,Unknown or none,4 to 7 years,4,Female divorced or married,None,2,Car or other property,61,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,50+,27,Low review
APP-0098,0 to 200 DM,18,Existing paid duly,Business,2622,100 to 500 DM,1 to 4 years,4,Male single,None,4,Car or other property,34,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,25 to 34,57,Medium review
APP-0099,0 to 200 DM,36,Critical or other credit,Radio or television,2337,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,36,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",25 to 36 months,35 to 49,57,Medium review
APP-0100,0 to 200 DM,20,Past delay,Used car,7057,Unknown or none,4 to 7 years,3,Male single,None,4,Building society savings or life insurance,36,Bank,Rent,2,Management or highly qualified,2,Phone registered,Foreign worker,Good credit,0,"4,000 to 7,999 DM",13 to 24 months,35 to 49,66,High review
APP-0101,No checking account,24,Existing paid duly,New car,1469,100 to 500 DM,>= 7 years,4,Male married or widowed,None,4,Real estate,41,None,Rent,1,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",13 to 24 months,35 to 49,30,Low review
APP-0102,0 to 200 DM,36,Existing paid duly,Radio or television,2323,< 100 DM,4 to 7 years,4,Male single,None,4,Car or other property,24,None,Rent,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",25 to 36 months,< 25,69,High review
